Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Final Price
MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 2050,14.0,1489.0
HP,Pavilion,Intel Core i7,16,512,SSD,iGPU,15.6,999.0
HP,Victus,Intel Core i5,16,512,SSD,GTX 1650,15.6,999.0
Lenovo,IdeaPad,Intel Core i5,8,512,SSD,iGPU,15.6,589.0
Lenovo,ThinkBook,Intel Core i5,8,256,SSD,iGPU,14.0,959.0
HP,Victus,Intel Core i5,16,512,SSD,GTX 1650,15.6,1039.0
Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,iGPU,15.6,599.0
HP,15S,Intel Core i7,8,512,SSD,iGPU,15.6,739.01
MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,16.0,2449.0
Acer,Aspire,Intel Core i7,8,512,SSD,iGPU,15.6,839.0
Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,iGPU,15.6,499.0
Lenovo,IdeaPad,AMD Ryzen 7,8,512,SSD,iGPU,15.6,699.0
MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 4060,15.6,2399.01
Lenovo,IdeaPad,AMD 3020e,4,128,SSD,iGPU,15.6,442.99
Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,iGPU,15.6,689.01
Lenovo,IdeaPad,Intel Core i5,16,512,SSD,iGPU,15.6,749.0
Lenovo,IdeaPad,AMD 3020e,4,256,SSD,iGPU,15.6,321.99
MSI,Modern,Intel Core i5,8,512,SSD,iGPU,15.6,599.0
Asus,ZenBook,Intel Core i7,16,512,SSD,iGPU,13.3,1199.0
Asus,TUF,Intel Core i5,16,512,SSD,RTX 2050,15.6,949.0
Asus,VivoBook,Intel Core i5,16,512,SSD,iGPU,16.0,799.0
Razer,Blade,Intel Core i7,16,1000,SSD,RTX 3070,15.6,3299.99
Medion,Akoya,AMD Ryzen 7,8,256,SSD,iGPU,15.6,478.99
Asus,ExpertBook,Intel Core i5,8,256,SSD,iGPU,15.6,989.0
Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,iGPU,15.6,439.99
HP,15S,AMD Ryzen 3,8,256,SSD,iGPU,15.6,529.0
Asus,VivoBook,Intel Core i7,8,512,SSD,iGPU,16.0,709.0
Asus,VivoBook,AMD Ryzen 5,8,512,SSD,610 M,15.6,509.99
Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,iGPU,15.6,659.0
Lenovo,IdeaPad,Intel Core i7,16,512,SSD,iGPU,15.6,749.0
Lenovo,IdeaPad,AMD Ryzen 7,8,512,SSD,iGPU,15.6,589.0
Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,iGPU,15.6,549.0
Lenovo,IdeaPad,AMD Ryzen 3,8,256,SSD,iGPU,15.6,459.0
Asus,VivoBook,Intel Core i7,8,512,SSD,iGPU,16.0,819.0
Asus,VivoBook,Intel Core i5,8,512,SSD,iGPU,16.0,609.01
Asus,ZenBook,AMD Ryzen 7,16,512,SSD,iGPU,14.0,999.0
Acer,Aspire,Intel Core i5,16,512,SSD,iGPU,15.6,739.01
Lenovo,IdeaPad,Intel Core i7,16,512,SSD,RTX 3060,15.6,1399.0
Asus,VivoBook,Intel Core i5,16,512,SSD,iGPU,15.6,759.01
Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,iGPU,15.6,729.0
Lenovo,IdeaPad,Intel Core i5,16,512,SSD,iGPU,15.6,749.0
HP,255,AMD Athlon,8,256,SSD,iGPU,15.6,349.0
Lenovo,IdeaPad,Intel Core i3,8,256,SSD,iGPU,15.6,479.0
HP,255,AMD Ryzen 5,16,512,SSD,iGPU,15.6,873.29
Lenovo,IdeaPad,AMD Ryzen 5,8,512,SSD,iGPU,15.6,589.0
Asus,Chromebook,Intel Celeron,8,64,eMMC,iGPU,14.0,399.01
Lenovo,Legion,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,1079.01
Lenovo,IdeaPad,Intel Core i5,8,512,SSD,iGPU,15.6,649.0
Lenovo,IdeaPad,AMD Ryzen 7,16,512,SSD,RTX 3050,15.6,999.0
Lenovo,ThinkBook,Intel Core i5,16,512,SSD,iGPU,14.0,1019.0
MSI,Pulse,Intel Core i7,32,1000,SSD,RTX 3060,17.3,1499.0
Apple,MacBook Air,Apple M2,8,256,SSD,iGPU,13.6,1519.0
Acer,Aspire,Intel Core i5,8,512,SSD,iGPU,17.3,729.0
MSI,Raider,Intel Core i9,32,1000,SSD,RTX 4060,16.0,2599.0
HP,15S,Intel Core i7,8,512,SSD,iGPU,15.6,699.0
Lenovo,Legion,Intel Core i7,16,512,SSD,RTX 3060,15.6,1599.0
HP,ProBook,Intel Core i5,8,256,SSD,iGPU,15.6,739.01
Asus,VivoBook,Intel Core i5,16,512,SSD,iGPU,15.6,709.0
Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,1059.0
MSI,Modern,Intel Core i5,16,512,SSD,iGPU,14.0,799.0
MSI,Modern,Intel Core i7,16,512,SSD,iGPU,14.0,999.0
Lenovo,IdeaPad,Intel Core i7,16,512,SSD,iGPU,15.6,899.0
MSI,Pulse,Intel Core i9,32,1000,SSD,RTX 4070,15.6,2299.0
MSI,Stealth,Intel Core i7,32,1000,SSD,RTX 4060,15.6,1899.0
Asus,Chromebook,Intel Celeron,8,64,eMMC,iGPU,14.0,449.0
Lenovo,V15,Intel Core i5,16,512,SSD,iGPU,15.6,699.0
Asus,Chromebook,Intel Celeron,8,32,SSD,iGPU,14.0,349.0
MSI,Vector,Intel Core i9,32,1000,SSD,RTX 4080,16.0,2599.0
HP,15S,Intel Core i5,8,512,SSD,iGPU,15.6,579.01
Acer,Aspire,Intel Core i5,8,512,SSD,iGPU,15.6,749.0
Asus,ExpertBook,Intel Core i3,8,256,SSD,iGPU,15.6,549.0
Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,RTX 3050,15.6,979.0
Asus,ZenBook,AMD Ryzen 5,16,512,SSD,iGPU,14.0,969.0
Lenovo,IdeaPad,Intel Core i5,16,512,SSD,RTX 3050,15.6,1099.0
Lenovo,Legion,Intel Core i5,16,512,SSD,RTX 3060,15.6,1319.01
Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,iGPU,14.0,799.0
Apple,MacBook Air,Apple M1,8,256,SSD,iGPU,13.3,1219.0
Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,GTX 1650,15.6,879.0
MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 2050,14.0,1359.0
Asus,F515,Intel Core i7,8,512,SSD,iGPU,15.6,839.0
Gigabyte,G5,Intel Core i5,16,512,SSD,RTX 4060,15.6,1109.0
HP,Chromebook,AMD Ryzen 3,8,128,SSD,iGPU,14.0,579.01
Dell,Vostro,Intel Core i3,8,256,SSD,iGPU,15.6,599.0
Apple,MacBook Air,Apple M2,8,256,SSD,iGPU,13.6,1519.0
Asus,TUF,AMD Ryzen 7,16,512,SSD,RTX 4060,15.6,1349.0
MSI,Thin,Intel Core i5,16,512,SSD,RTX 3050,15.6,999.0
Lenovo,IdeaPad,Intel Core i5,16,512,SSD,GTX 1650,15.6,829.01
Lenovo,Legion,Intel Core i7,16,1000,SSD,RTX 3060,15.6,1569.01
HP,15S,AMD Ryzen 3,8,512,SSD,iGPU,15.6,479.0
HP,255,AMD 3020e,8,256,SSD,iGPU,15.6,339.0
Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,GTX 1650,15.6,779.01
Medion,Akoya,AMD Ryzen 5,4,256,SSD,iGPU,14.0,499.0
Asus,VivoBook,Intel Core i3,8,256,SSD,iGPU,14.0,459.0
MSI,Modern,Intel Core i7,16,1000,SSD,iGPU,14.0,999.0
Asus,ROG,AMD Ryzen 7,16,1000,SSD,RTX 3060,15.6,1899.0
MSI,Modern,Intel Core i5,16,512,SSD,iGPU,15.6,819.0
HP,15S,AMD Ryzen 7,12,512,SSD,iGPU,15.6,749.0
Lenovo,IdeaPad,Qualcomm Snapdragon 7,8,128,eMMC,iGPU,13.3,599.0
Acer,Nitro,AMD Ryzen 5,16,1000,SSD,RTX 3050,15.6,1199.0
Lenovo,V15,Intel Core i3,8,512,SSD,iGPU,15.6,449.0
MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 4060,16.0,1999.0
HP,15S,AMD 3020e,4,128,SSD,iGPU,15.6,379.0
Lenovo,IdeaPad,Intel Core i3,8,256,SSD,iGPU,15.6,529.0
LG,Gram,Intel Evo Core i7,16,512,SSD,iGPU,17.0,1799.0
MSI,Prestige,Intel Core i7,32,1000,SSD,RTX 4050,16.0,1999.0
Asus,E410,Intel Celeron,4,64,eMMC,iGPU,14.0,349.0
HP,Omen,Intel Core i7,32,1000,SSD,RTX 4060,17.3,1799.0
Medion,Akoya,Intel Core i5,8,512,SSD,iGPU,16.1,499.0
Lenovo,V15,AMD Ryzen 3,8,256,SSD,iGPU,15.6,399.0
Asus,ZenBook,AMD Ryzen 7,16,512,SSD,iGPU,14.0,1149.0
Alurin,Flex Advance,Intel Core i5,8,0,SSD,iGPU,14.0,368.7
Acer,Aspire,Intel Core i3,8,512,SSD,iGPU,15.6,499.0
